,Voltages,Times
281,-1.9e-05,1647440607.3813703
282,-2.2e-05,1647440612.3813913
283,-2e-05,1647440617.3814678
284,-1.7e-05,1647440622.381407
285,-1.9e-05,1647440627.381433
286,-1.7e-05,1647440632.3814418
287,-1.6e-05,1647440637.3813696
288,-1.7e-05,1647440642.3814178
289,-1.7e-05,1647440647.3814583
290,-1.9e-05,1647440652.381411
291,-1.7e-05,1647440657.3813932
292,-1.5e-05,1647440662.3814385
293,-1.8e-05,1647440667.3773575
294,-1.8e-05,1647440672.3814428
295,-1.7e-05,1647440677.3815043
296,-1.7e-05,1647440682.3814235
297,-1.8e-05,1647440687.3814912
298,-1.9e-05,1647440692.3814821
299,-1.6e-05,1647440697.3815079
300,-1.9e-05,1647440702.381488
301,-1.9e-05,1647440707.381411
302,-1.7e-05,1647440712.3814752
303,-1.7e-05,1647440717.3814757
304,-1.7e-05,1647440722.3813958
305,-1.4e-05,1647440727.381389
306,-1.7e-05,1647440732.3814027
307,-1.5e-05,1647440737.3815076
308,-1.7e-05,1647440742.3814135
309,-1.8e-05,1647440747.381425
310,-1.7e-05,1647440752.3814385
311,-1.7e-05,1647440757.3814147
312,-1.7e-05,1647440762.3812938
313,-2e-05,1647440767.3794901
314,-1.8e-05,1647440772.38146
315,-1.7e-05,1647440777.3814158
316,-1.8e-05,1647440782.381492
317,-1.9e-05,1647440787.3813884
318,-1.9e-05,1647440792.3814566
319,-1.5e-05,1647440797.381405
320,-1.8e-05,1647440802.3813856
321,-2e-05,1647440807.3813715
322,-2e-05,1647440812.3814526
323,-1.7e-05,1647440817.381565
324,-1.7e-05,1647440822.3814607
325,-1.6e-05,1647440827.3814292
326,-1.8e-05,1647440832.3814192
327,-2.1e-05,1647440837.3814502
328,-1.7e-05,1647440842.3813841
329,-1.8e-05,1647440847.381444
330,-1.7e-05,1647440852.381474
331,-2e-05,1647440857.3814425
332,-1.5e-05,1647440862.381353
333,-1.3e-05,1647440867.3815508
334,-1.6e-05,1647440872.3814588
335,-1.8e-05,1647440877.3814144
336,-2.2e-05,1647440882.3813922
337,-2e-05,1647440887.381435
338,-1.9e-05,1647440892.381476
339,-1.8e-05,1647440897.381337
340,-1.7e-05,1647440902.381401
341,-1.4e-05,1647440907.3814433
342,-2e-05,1647440912.3814192
343,-1.8e-05,1647440917.3814394
344,-1.3e-05,1647440922.3773494
345,-1.5e-05,1647440927.3814785
346,-1.5e-05,1647440932.3813772
347,-1.4e-05,1647440937.3814356
348,-1.6e-05,1647440942.3814178
349,-1.6e-05,1647440947.381428
350,-1.7e-05,1647440952.3814342
351,-2e-05,1647440957.381425
352,-2.2e-05,1647440962.3765936
353,-1.9e-05,1647440967.3814387
354,-1.9e-05,1647440972.381462
355,-1.7e-05,1647440977.3813972
356,-1.9e-05,1647440982.3813744
357,-2.1e-05,1647440987.3814101
358,-2.2e-05,1647440992.38141
359,-2.2e-05,1647440997.3813753
