,all_voltages,all_times
630,-0.00018,1646718438.9937594
631,-0.000181,1646718444.993928
632,-0.000178,1646718450.9939187
633,-0.00018,1646718456.9939208
634,-0.00018,1646718462.9938943
635,-0.000178,1646718468.9939167
636,-0.000174,1646718474.993884
637,-0.000177,1646718480.993913
638,-0.000181,1646718486.9939203
639,-0.000184,1646718492.9938662
640,-0.000187,1646718498.9939182
641,-0.000189,1646718504.9939413
642,-0.000189,1646718510.9939144
643,-0.000184,1646718516.9939365
644,-0.000186,1646718522.9923477
645,-0.000185,1646718528.9939141
646,-0.000187,1646718534.993904
647,-0.000187,1646718540.9939246
648,-0.00019,1646718546.9938598
649,-0.00019,1646718552.9939222
650,-0.000189,1646718558.9939222
651,-0.000189,1646718564.9939232
652,-0.00019,1646718570.9939013
653,-0.000189,1646718576.9939106
654,-0.00019,1646718582.9939432
655,-0.000191,1646718588.9938312
656,-0.000193,1646718594.9939206
657,-0.000193,1646718600.993913
658,-0.000193,1646718606.9939325
659,-0.00019,1646718612.9939036
660,-0.000195,1646718618.993926
661,-0.000194,1646718624.9939504
662,-0.000189,1646718630.993824
663,-0.000194,1646718636.9938555
664,-0.000191,1646718642.993909
665,-0.000192,1646718648.9939017
666,-0.000188,1646718654.9922442
667,-0.000185,1646718660.993792
668,-0.000184,1646718666.993914
669,-0.000185,1646718672.9939072
670,-0.000187,1646718678.99391
671,-0.000188,1646718684.9938872
672,-0.000183,1646718690.9921381
673,-0.000187,1646718696.9921048
674,-0.000183,1646718702.9939272
675,-0.000181,1646718708.9939113
676,-0.000182,1646718714.9938178
677,-0.00018,1646718720.992094
678,-0.000181,1646718726.9938774
679,-0.000183,1646718732.9939253
680,-0.00018,1646718738.9939177
681,-0.00018,1646718744.9939048
682,-0.000179,1646718750.9939787
683,-0.000178,1646718756.993836
684,-0.000175,1646718762.9938385
685,-0.00018,1646718768.993899
686,-0.000179,1646718774.9938056
687,-0.000183,1646718780.9938807
688,-0.000181,1646718786.993898
689,-0.000182,1646718792.9939075
690,-0.000179,1646718798.9938958
691,-0.000181,1646718804.9939241
692,-0.00018,1646718810.9938757
693,-0.00018,1646718816.993904
694,-0.000182,1646718822.993927
695,-0.000185,1646718828.9939027
696,-0.000182,1646718834.9938972
697,-0.000184,1646718840.9939466
698,-0.000183,1646718846.9939053
699,-0.000185,1646718852.9939148
700,-0.000181,1646718858.9939587
701,-0.000185,1646718864.9939528
702,-0.000183,1646718870.9939098
703,-0.000186,1646718876.9939198
704,-0.000186,1646718882.9939125
705,-0.000186,1646718888.993931
706,-0.000184,1646718894.9938927
707,-0.000185,1646718900.9939017
708,-0.000188,1646718906.9938734
709,-0.000193,1646718912.9939477
710,-0.00019,1646718918.993922
711,-0.000188,1646718924.9938216
712,-0.00019,1646718930.993948
713,-0.000191,1646718936.993859
714,-0.000192,1646718942.9938748
715,-0.000192,1646718948.9938855
716,-0.000189,1646718954.993909
717,-0.00019,1646718960.993933
718,-0.000191,1646718966.9938834
719,-0.00019,1646718972.9938931
720,-0.00019,1646718978.9939075
721,-0.000184,1646718984.9938955
722,-0.000186,1646718990.9939046
723,-0.000187,1646718996.9939024
724,-0.000186,1646719002.9938965
725,-0.000186,1646719008.9938998
726,-0.000192,1646719014.993927
727,-0.000191,1646719020.993939
728,-0.000188,1646719026.9938912
729,-0.000186,1646719032.9938931
730,-0.000184,1646719038.9938898
731,-0.000183,1646719044.9939046
732,-0.000183,1646719050.9939113
733,-0.000185,1646719056.9939487
734,-0.000186,1646719062.993956
735,-0.000182,1646719068.993912
736,-0.000179,1646719074.9939425
737,-0.000182,1646719080.9938943
738,-0.00018,1646719086.9938586
739,-0.000178,1646719092.993915
740,-0.000177,1646719098.9939058
741,-0.000178,1646719104.9939065
742,-0.000175,1646719110.993873
743,-0.000177,1646719116.9939008
744,-0.000175,1646719122.9939163
745,-0.000172,1646719128.9939027
746,-0.000175,1646719134.9939187
747,-0.000176,1646719140.9939444
748,-0.000181,1646719146.99393
749,-0.000176,1646719152.9939034
750,-0.000174,1646719158.9939184
751,-0.000176,1646719164.993904
752,-0.000175,1646719170.9939082
753,-0.000176,1646719176.9937685
754,-0.000177,1646719182.993712
755,-0.000177,1646719188.9938977
756,-0.000175,1646719194.993964
757,-0.000178,1646719200.9939084
