,Voltages,Times
544,3.4e-05,1647450903.87143
545,3.6e-05,1647450908.871459
546,3.7e-05,1647450913.8715284
547,3.6e-05,1647450918.8714972
548,3.5e-05,1647450923.8714645
549,3.2e-05,1647450928.8715029
550,3e-05,1647450933.8714652
551,3e-05,1647450938.8714657
552,3.1e-05,1647450943.8714561
553,3.2e-05,1647450948.871472
554,3.1e-05,1647450953.8714797
555,2.9e-05,1647450958.8715417
556,3.1e-05,1647450963.8714697
557,3.1e-05,1647450968.8715198
558,3.5e-05,1647450973.8693304
559,3.4e-05,1647450978.8715243
560,3.4e-05,1647450983.8714254
561,3.5e-05,1647450988.8715425
562,3.5e-05,1647450993.8714826
563,3.4e-05,1647450998.8714602
564,3.5e-05,1647451003.87151
565,3.7e-05,1647451008.8714454
566,3.6e-05,1647451013.8714278
567,3.4e-05,1647451018.871528
568,3.3e-05,1647451023.8714879
569,3.3e-05,1647451028.87147
570,3.5e-05,1647451033.8714545
571,3.5e-05,1647451038.8714314
572,3.4e-05,1647451043.8714025
573,3.6e-05,1647451048.871375
574,3.5e-05,1647451053.871508
575,3.3e-05,1647451058.8714757
576,3.2e-05,1647451063.8714898
577,3.3e-05,1647451068.871533
578,3.3e-05,1647451073.8692677
579,2.9e-05,1647451078.8715441
580,3e-05,1647451083.871477
581,3e-05,1647451088.8715196
582,3e-05,1647451093.8714654
583,3.3e-05,1647451098.8715076
584,3.2e-05,1647451103.8714988
585,3.4e-05,1647451108.8714683
586,3.5e-05,1647451113.8714833
587,3.6e-05,1647451118.8714354
588,3.4e-05,1647451123.8714592
589,3.2e-05,1647451128.8714948
590,3.4e-05,1647451133.871529
591,3e-05,1647451138.871337
592,3.1e-05,1647451143.8715212
593,3.4e-05,1647451148.871504
594,3.3e-05,1647451153.8715496
595,3.5e-05,1647451158.8714464
596,3.4e-05,1647451163.8714924
597,3.3e-05,1647451168.871506
598,3.4e-05,1647451173.8714814
599,3.2e-05,1647451178.871501
600,3.3e-05,1647451183.8714588
601,3.5e-05,1647451188.8714733
602,3.6e-05,1647451193.8715234
603,3.3e-05,1647451198.8714046
604,3.2e-05,1647451203.871466
605,3.1e-05,1647451208.8714306
606,3.1e-05,1647451213.8715525
607,2.7e-05,1647451218.871494
608,2.8e-05,1647451223.871515
609,2.5e-05,1647451228.8715112
610,2.6e-05,1647451233.8715196
611,2.7e-05,1647451238.871535
612,2.7e-05,1647451243.8714454
613,2.8e-05,1647451248.871705
614,3.1e-05,1647451253.8715413
615,3.2e-05,1647451258.8714595
616,3e-05,1647451263.871396
617,3.2e-05,1647451268.871385
618,3.4e-05,1647451273.8715117
619,3.2e-05,1647451278.8714745
620,3.4e-05,1647451283.871448
621,3.6e-05,1647451288.871415
622,3.6e-05,1647451293.8715072
623,3.8e-05,1647451298.8714235
624,3.6e-05,1647451303.8714235
625,3.5e-05,1647451308.8714774
626,3.5e-05,1647451313.871479
627,3.5e-05,1647451318.8714902
628,3.4e-05,1647451323.8714726
629,3.5e-05,1647451328.871427
630,3.3e-05,1647451333.871491
631,3.2e-05,1647451338.8714848
632,3.1e-05,1647451343.8714964
633,3.4e-05,1647451348.8714015
634,3.1e-05,1647451353.8714964
635,2.9e-05,1647451358.871508
636,3.2e-05,1647451363.8714895
637,3e-05,1647451368.8714902
638,3.2e-05,1647451373.8715093
639,2.9e-05,1647451378.8714645
640,3e-05,1647451383.8714592
641,3.3e-05,1647451388.8715038
642,3.2e-05,1647451393.8714519
643,2.9e-05,1647451398.8714442
644,2.9e-05,1647451403.8715277
645,3e-05,1647451408.8714488
646,3.2e-05,1647451413.8714504
647,3.3e-05,1647451418.8714838
648,3.3e-05,1647451423.8714607
649,3e-05,1647451428.8714828
650,2.8e-05,1647451433.8714907
651,2.9e-05,1647451438.871452
652,2.9e-05,1647451443.8714345
653,2.9e-05,1647451448.8714304
654,3.1e-05,1647451453.8714788
655,2.9e-05,1647451458.8714983
656,2.8e-05,1647451463.8714848
657,2.9e-05,1647451468.871444
658,2.9e-05,1647451473.8715
659,3.1e-05,1647451478.871413
660,3.2e-05,1647451483.87144
661,3.2e-05,1647451488.87148
662,3e-05,1647451493.8714604
663,3.1e-05,1647451498.8714848
664,3.2e-05,1647451503.8714986
665,2.9e-05,1647451508.871481
666,2.8e-05,1647451513.8715324
667,3e-05,1647451518.8714538
668,3.3e-05,1647451523.8714364
669,3.5e-05,1647451528.8714445
670,3.4e-05,1647451533.8715005
671,3.2e-05,1647451538.8714786
672,3.2e-05,1647451543.871464
673,2.7e-05,1647451548.871499
674,2.4e-05,1647451553.8714318
675,2.3e-05,1647451558.8715105
676,2.2e-05,1647451563.8714848
677,2.5e-05,1647451568.871488
678,2.6e-05,1647451573.8715127
679,2.9e-05,1647451578.871496
680,3.2e-05,1647451583.8715262
681,3e-05,1647451588.8714375
682,3.1e-05,1647451593.8715398
683,3.1e-05,1647451598.8715353
684,3.1e-05,1647451603.871515
685,3.3e-05,1647451608.8715386
686,3e-05,1647451613.8715317
687,3.2e-05,1647451618.8715346
688,3.1e-05,1647451623.8715148
689,2.8e-05,1647451628.8715136
690,2.5e-05,1647451633.8714685
691,2.4e-05,1647451638.8715324
692,2.3e-05,1647451643.8714957
693,2.4e-05,1647451648.8714323
694,2.7e-05,1647451653.871499
695,3.1e-05,1647451658.8715088
696,3.1e-05,1647451663.8714597
697,2.9e-05,1647451668.8714497
698,2.9e-05,1647451673.871477
699,2.7e-05,1647451678.871526
700,2.7e-05,1647451683.8714998
701,2.6e-05,1647451688.871504
702,2.5e-05,1647451693.8714714
703,2.6e-05,1647451698.8715165
704,2.5e-05,1647451703.871503
705,2.5e-05,1647451708.8714118
706,2.5e-05,1647451713.87148
707,2.8e-05,1647451718.8714619
708,2.7e-05,1647451723.871477
709,2.7e-05,1647451728.8714082
710,2.8e-05,1647451733.871517
711,2.7e-05,1647451738.8714569
712,2.5e-05,1647451743.8714519
713,2.7e-05,1647451748.8714933
714,2.7e-05,1647451753.871508
715,2.7e-05,1647451758.871472
716,2.7e-05,1647451763.871485
717,2.6e-05,1647451768.871444
718,2.8e-05,1647451773.8715022
719,2.6e-05,1647451778.8714864
720,2.7e-05,1647451783.871435
721,2.9e-05,1647451788.8714883
722,2.8e-05,1647451793.8714638
723,2.6e-05,1647451798.8714638
724,2.6e-05,1647451803.871497
725,2.6e-05,1647451808.8714857
726,2.6e-05,1647451813.8714492
727,2.3e-05,1647451818.8714607
728,2.4e-05,1647451823.8714898
729,2.5e-05,1647451828.8714683
730,2.6e-05,1647451833.8715334
731,2.8e-05,1647451838.8715138
732,2.7e-05,1647451843.871497
733,2.7e-05,1647451848.8714845
734,2.4e-05,1647451853.8715274
735,2.3e-05,1647451858.871516
736,2.2e-05,1647451863.8714993
737,2.2e-05,1647451868.8714905
738,2.2e-05,1647451873.8714852
739,2.2e-05,1647451878.8715892
740,2.2e-05,1647451883.871513
741,2.2e-05,1647451888.871501
742,2.2e-05,1647451893.8715265
743,1.9e-05,1647451898.871508
744,2.1e-05,1647451903.871521
745,2.2e-05,1647451908.8714795
746,2.2e-05,1647451913.8714674
747,2.4e-05,1647451918.871477
748,2.6e-05,1647451923.8714755
749,2.7e-05,1647451928.8715298
750,2.7e-05,1647451933.8714638
751,2.4e-05,1647451938.8715267
752,2.4e-05,1647451943.8714476
753,2.6e-05,1647451948.8714411
754,2.6e-05,1647451953.8714902
755,2.4e-05,1647451958.871486
756,2.3e-05,1647451963.8714447
757,2.3e-05,1647451968.87148
758,2.3e-05,1647451973.8714893
759,2.5e-05,1647451978.8715167
760,2.3e-05,1647451983.871515
761,2.4e-05,1647451988.8715088
762,2.3e-05,1647451993.8714347
763,2e-05,1647451998.8714733
764,2.3e-05,1647452003.8714461
765,2.4e-05,1647452008.869971
766,2.3e-05,1647452013.8715262
767,2e-05,1647452018.871516
768,2e-05,1647452023.8714767
769,2.1e-05,1647452028.8714821
770,2.1e-05,1647452033.8714879
771,2.1e-05,1647452038.8715055
772,2.4e-05,1647452043.869337
